global_position	campaign_seed	cell_id	cell_order_index	run_id	event_id	mission_state_id	contact_condition_id	evidence_condition_id	requested_policy_id	effective_policy_id	p6_to_p5_delegation	P1_block	P2_block	P3_block	P4_block	pareto_group	M01_unauthorized_effect_completed	M02_mission_objective_completion_ratio	M03_safety_invariant_violation_count	M04_containment_event	M04_containment_analysis_time_s	M05_verified_recovery_event	M05_verified_recovery_analysis_time_s	M06_legitimate_commands_rejected	M06_legitimate_commands_attempted	M06_legitimate_command_rejection_rate	M07_ground_spacecraft_state_divergence_s	M08_available_current_count	M08_applicable_evidence_count	M08_evidence_completeness_ratio	terminal_state
52	10003	A20	4	20260825T192904Z-wp9-r069-p0052-s10003-a20-978b6ca8ecc141d19ed17276afc79b8f	E2	M0	C0	T0	P1	P1	false	false	false	false	false	G08	false	1.0	0	1	2.590336695	0	30.0	0	1	0.0	0.0	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
53	10003	A03	5	20260825T193431Z-wp9-r069-p0053-s10003-a03-8f8a6793fc3941a49f96b89757bdc170	E1	M2	C0	T0	P1	P1	false	true	false	false	false	G02	true	0.5	0	1	4.3250831519999995	0	30.0	0	1	0.0	5.492313915	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
54	10003	A19	6	20260825T193929Z-wp9-r069-p0054-s10003-a19-ab44840d96f84113935354ad1c143d1e	E2	M0	C0	T0	P0	P0	false	false	false	false	false	G08	true	0.5	0	0	30.0	0	30.0	0	1	0.0	27.000711176	5	5	1.0	RECOVERY_FAILED
55	10003	A23	7	20260825T194436Z-wp9-r069-p0055-s10003-a23-ecca745ee4da43828a2c66aff081fe1c	E4	M2	C0	T0	P4	P4	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	1	1	1.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
56	10003	A11	8	20260825T195455Z-wp9-r069-p0056-s10003-a11-a69094d910fc4ab4b1ac94aab39505cc	E3	M4	C0	T0	P7	P5	false	false	true	true	true	G05	true	1.0	0	1	1.016867282	1	3.933734178	0	1	0.0	0.8155810029999999	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
57	10003	A06	9	20260825T195849Z-wp9-r069-p0057-s10003-a06-e9235bd7888e469a8f3f321fd1ed474f	E1	M4	C0	T0	P7	P2	false	true	false	false	false	G03	true	0.5	0	1	4.174486679999999	0	30.0	0	1	0.0	5.30607506	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
58	10003	A24	10	20260825T200401Z-wp9-r069-p0058-s10003-a24-6cd49abbabda4b70877bf51e3949d67b	E4	M2	C0	T0	P7	P4	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	1	1	1.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
59	10003	A14	11	20260825T200836Z-wp9-r069-p0059-s10003-a14-298845ef7df646a5916e6854ec159634	E3	M4	C0	T0	P5	P5	false	false	false	true	false	G05	true	1.0	0	1	0.806474585	1	2.788825318	0	1	0.0	0.6812476030000001	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
60	10003	A18	12	20260825T201236Z-wp9-r069-p0060-s10003-a18-7b0e4bf69abb4c8f8fd0bda79214b822	E3	M4	C1	T0	P7	P5	false	false	true	false	false	G07	true	1.0	0	1	0.783570713	1	2.765976628	0	1	0.0	0.650717021	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
61	10003	A09	13	20260825T201624Z-wp9-r069-p0061-s10003-a09-6c4b503ffb524ce39d2b523526b77c43	E1	M2	C0	T1	P7	P4	false	false	false	false	true	G04	true	0.0	0	1	4.012544786	0	30.0	1	1	1.0	29.370766912	5	5	1.0	CONTAINED_NOT_RECOVERED
62	10003	A07	14	20260825T202109Z-wp9-r069-p0062-s10003-a07-4ec12d2472624e83b40139569b6c7bd8	E1	M2	C0	T0	P2	P2	false	false	false	false	true	G02	true	0.5	0	1	4.238428118000001	0	30.0	0	1	0.0	5.536283226	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
63	10003	A08	15	20260825T202619Z-wp9-r069-p0063-s10003-a08-48fdad95fe6a46dc9ff074eb598bae24	E1	M2	C0	T1	P2	P2	false	false	false	false	true	G04	true	0.5	0	1	19.962285406000003	0	30.0	0	1	0.0	22.345338762	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
64	10003	A05	16	20260825T203318Z-wp9-r069-p0064-s10003-a05-ff06174715784d57bf0a72637e5978d3	E1	M4	C0	T0	P1	P1	false	true	false	false	false	G03	true	0.5	0	1	5.679360566	0	30.0	0	1	0.0	6.894536594	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
65	10003	A02	17	20260825T203853Z-wp9-r069-p0065-s10003-a02-a7650d922a04454a91c80f67720ddc97	E1	M0	C0	T0	P7	P1	false	true	false	false	false	G01	true	0.5	0	1	5.724389638	0	30.0	0	1	0.0	6.960582755	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
66	10003	A10	18	20260825T204422Z-wp9-r069-p0066-s10003-a10-676740d655ed42f6b7429910ee370352	E3	M4	C0	T0	P2	P2	false	false	false	false	true	G05	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.774795483000002	10	10	1.0	RECOVERY_FAILED
67	10003	A16	19	20260825T204824Z-wp9-r069-p0067-s10003-a16-1d68e1a7bca3412fa5b1fdeaf6dd7198	E3	M4	C0	T0	P6	P6	true	false	true	false	false	G05	true	1.0	0	1	1.105560648	1	3.0604614029999997	0	1	0.0	0.986945209	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
68	10003	A01	20	20260825T205204Z-wp9-r069-p0068-s10003-a01-517bd9f803384d31bc4bcd5d19130788	E1	M0	C0	T0	P1	P1	false	true	false	false	false	G01	true	0.5	0	1	4.9309319700000005	0	30.0	0	1	0.0	6.217044469	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
69	10003	A21	21	20260825T205749Z-wp9-r069-p0069-s10003-a21-bb8369cf20e041bbb38cf7b2f322ce26	E2	M0	C0	T0	P7	P1	false	false	false	false	false	G08	false	1.0	0	1	4.9268251460000005	0	30.0	0	1	0.0	0.0	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
70	10003	A04	22	20260825T210537Z-wp9-r069-p0070-s10003-a04-893931d060df447d9158ccb9d27c868d	E1	M2	C0	T0	P7	P2	false	true	false	false	true	G02	true	0.5	0	1	15.364902081	0	30.0	0	1	0.0	17.922873297	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
71	10003	A17	23	20260825T211249Z-wp9-r069-p0071-s10003-a17-0858c1ae85e84d5ea2972b827c593f0d	E3	M4	C1	T0	P6	P6	true	false	true	false	false	G07	true	1.0	0	1	11.086532993	1	13.153959546	0	1	0.0	10.956986991	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
72	10003	A12	24	20260825T211625Z-wp9-r069-p0072-s10003-a12-3a00cc2f160e4a95a34e3c1a79f33fa3	E3	M4	C0	T1	P2	P2	false	false	false	false	true	G06	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.782144306	10	10	1.0	RECOVERY_FAILED
73	10004	A11	1	20260825T212051Z-wp9-r069-p0073-s10004-a11-7172a12f2e364f6d9f9ac65b73fe356d	E3	M4	C0	T0	P7	P5	false	false	true	true	true	G05	true	1.0	0	1	1.4204347959999999	1	5.319944552	0	1	0.0	1.200648787	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
74	10004	A24	2	20260825T212550Z-wp9-r069-p0074-s10004-a24-6eb97fc744b5401d8053d7483dcaed87	E4	M2	C0	T0	P7	P4	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	1	1	1.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
75	10004	A10	3	20260825T213117Z-wp9-r069-p0075-s10004-a10-f886b5d9116d4238bfed3aa394ec8434	E3	M4	C0	T0	P2	P2	false	false	false	false	true	G05	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.802904432	10	10	1.0	RECOVERY_FAILED
76	10004	A23	4	20260825T213508Z-wp9-r069-p0076-s10004-a23-d926cda6409f457b945d6e5f5ea6524c	E4	M2	C0	T0	P4	P4	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	1	1	1.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
77	10004	A05	5	20260825T214024Z-wp9-r069-p0077-s10004-a05-550b4b4d55494f61839aeefacd525820	E1	M4	C0	T0	P1	P1	false	true	false	false	false	G03	true	0.5	0	1	5.740371818	0	30.0	0	1	0.0	7.086146392000001	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
78	10004	A14	6	20260825T214538Z-wp9-r069-p0078-s10004-a14-5b0f48ab07a84327a956f77d5eae5d44	E3	M4	C0	T0	P5	P5	false	false	false	true	false	G05	true	1.0	0	1	1.309065177	1	4.553193889	0	1	0.0	1.062381161	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
79	10004	A21	7	20260825T214946Z-wp9-r069-p0079-s10004-a21-5dc4e9a039c947a9af207650b3df484d	E2	M0	C0	T0	P7	P1	false	false	false	false	false	G08	false	1.0	0	1	3.012386736	0	30.0	0	1	0.0	0.0	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
80	10004	A12	8	20260825T221953Z-wp9-r069-p0080-s10004-a12-dd061ebe290e4d82b60d71dc397f221b	E3	M4	C0	T1	P2	P2	false	false	false	false	true	G06	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.864604189	10	10	1.0	RECOVERY_FAILED
81	10004	A01	9	20260825T222335Z-wp9-r069-p0081-s10004-a01-10a6d8bd0180452f96fa6e91871b7cdf	E1	M0	C0	T0	P1	P1	false	true	false	false	false	G01	true	0.5	0	1	4.581879149000001	0	30.0	0	1	0.0	5.669091049	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
82	10004	A13	10	20260825T222816Z-wp9-r069-p0082-s10004-a13-656a936bd00d480a8f8e250e4b25f0a1	E3	M4	C0	T1	P7	P2	false	false	false	true	true	G06	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.884966255	10	10	1.0	RECOVERY_FAILED
83	10004	A20	11	20260825T223158Z-wp9-r069-p0083-s10004-a20-8ec92aec713741a4bb8aa14e5a35edb4	E2	M0	C0	T0	P1	P1	false	false	false	false	false	G08	false	1.0	0	1	1.826658496	0	30.0	0	1	0.0	0.0	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
84	10004	A08	12	20260825T223640Z-wp9-r069-p0084-s10004-a08-379c00b31a82496c9b0afe56ce3fc24d	E1	M2	C0	T1	P2	P2	false	false	false	false	true	G04	true	0.5	0	1	4.029588297	0	30.0	0	1	0.0	4.972483155	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
