global_position	campaign_seed	cell_id	run_id	event_id	evidence_condition_id	requested_policy_id	effective_policy_id	selected_action	execution_commit	M01_unauthorized_effect_completed	M02_mission_objective_completion_ratio	M03_safety_invariant_violation_count	M06_legitimate_commands_rejected	M06_legitimate_commands_attempted	M06_legitimate_command_rejection_rate	mission_loss	terminal_state	trusted_recovery	recovery_failed	operational_unverified	contained_not_recovered	evidence_insufficient	decision_basis
84	10004	A08	20260825T223640Z-wp9-r069-p0084-s10004-a08-379c00b31a82496c9b0afe56ce3fc24d	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
86	10004	A07	20260825T224606Z-wp9-r069-p0086-s10004-a07-5cccfaa366184009babcb6f83f36a768	E1	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
90	10004	A09	20260825T230424Z-wp9-r069-p0090-s10004-a09-9d992de4ac5741fc90f0335b7e8b41f1	E1	T1	P7	P4	ENTER_SAFE_MODE	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.0	0	1	1	1.0	false	CONTAINED_NOT_RECOVERED	false	false	false	true		
93	10004	A04	20260825T231920Z-wp9-r069-p0093-s10004-a04-9f0ace45053940ed8837246c00dc12e1	E1	T0	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
101	10005	A09	20260826T000247Z-wp9-r069-p0101-s10005-a09-0950c5ceb7404a48907b4c602116b863	E1	T1	P7	P4	ENTER_SAFE_MODE	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.0	0	1	1	1.0	false	CONTAINED_NOT_RECOVERED	false	false	false	true		
102	10005	A13	20260826T001017Z-wp9-r069-p0102-s10005-a13-a444c9521bd74135bacb8567aa245c6f	E3	T1	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	true	evidence_insufficient
109	10005	A10	20260826T005400Z-wp9-r069-p0109-s10005-a10-7a6b7acbc82049fdb36d4b841944aa2d	E3	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
110	10005	A11	20260826T005843Z-wp9-r069-p0110-s10005-a11-73064da0542c444eae0ae4e0c0a7703c	E3	T0	P7	P5	REQUEST_VERIFIED_ROLLBACK	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	1.0	0	0	1	0.0	false	TRUSTED_RECOVERY_CONFIRMED	true	false	false	false	false	event_state_contact
111	10005	A08	20260826T010305Z-wp9-r069-p0111-s10005-a08-2cbbd1d7a0b541a194549648b94636c4	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
113	10005	A04	20260826T011300Z-wp9-r069-p0113-s10005-a04-15e6a6f902d44877af59789d96e94afd	E1	T0	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
116	10005	A12	20260826T012936Z-wp9-r069-p0116-s10005-a12-85f4dbd62adb49b8bbfad33d3f161154	E3	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
120	10005	A07	20260826T015843Z-wp9-r069-p0120-retry-s10005-a07-6e065f95d7b94aa587eeb6ae56bfd9ea	E1	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
121	10006	A11	20260826T020625Z-wp9-r069-p0121-s10006-a11-d5b1146dbf964f9c9f72220f8f4766b4	E3	T0	P7	P5	REQUEST_VERIFIED_ROLLBACK	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	1.0	0	0	1	0.0	false	TRUSTED_RECOVERY_CONFIRMED	true	false	false	false	false	event_state_contact
123	10006	A08	20260826T021637Z-wp9-r069-p0123-s10006-a08-3fbd2a549c1044fca32c07dd131de977	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
129	10006	A09	20260826T024736Z-wp9-r069-p0129-s10006-a09-66efa219186e4c7898e2e3974247c550	E1	T1	P7	P4	ENTER_SAFE_MODE	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.0	0	1	1	1.0	false	CONTAINED_NOT_RECOVERED	false	false	false	true		
131	10006	A10	20260826T025928Z-wp9-r069-p0131-s10006-a10-a2136300673344f3b7667d79a1ede64f	E3	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
133	10006	A04	20260826T030945Z-wp9-r069-p0133-s10006-a04-a5c4345f6db341b59002cfa49a491417	E1	T0	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
136	10006	A07	20260826T035150Z-wp9-r069-p0136-s10006-a07-7a8e27da9a924dcb91953fdf6c6f13f5	E1	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
137	10006	A13	20260826T035731Z-wp9-r069-p0137-s10006-a13-88580bf63c11459dada6e02fe30e2d94	E3	T1	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	true	evidence_insufficient
138	10006	A12	20260826T040212Z-wp9-r069-p0138-s10006-a12-c11323d3049c41ec867ff96e523fabd3	E3	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
146	10007	A04	20260826T044846Z-wp9-r069-p0146-s10007-a04-f76e9b68bce1403199d6aa0a74bcef8c	E1	T0	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
148	10007	A09	20260826T045943Z-wp9-r069-p0148-s10007-a09-5654e6548d9b48f4bd53ea393a6a6ec0	E1	T1	P7	P4	ENTER_SAFE_MODE	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.0	0	1	1	1.0	false	CONTAINED_NOT_RECOVERED	false	false	false	true		
150	10007	A11	20260826T051041Z-wp9-r069-p0150-s10007-a11-66a156a5102d48c8924fe104abce59b5	E3	T0	P7	P5	REQUEST_VERIFIED_ROLLBACK	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	1.0	0	0	1	0.0	false	TRUSTED_RECOVERY_CONFIRMED	true	false	false	false	false	event_state_contact
151	10007	A12	20260826T051537Z-wp9-r069-p0151-s10007-a12-2fac8902e7924e7aa13ac2cd3d3f3386	E3	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
154	10007	A13	20260826T053212Z-wp9-r069-p0154-s10007-a13-6558c888c26145cba12a7c04bdcce066	E3	T1	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	true	evidence_insufficient
156	10007	A10	20260826T054256Z-wp9-r069-p0156-s10007-a10-006d22d992c84fce8453fd661aa3ce64	E3	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
166	10007	A08	20260826T063822Z-wp9-r069-p0166-s10007-a08-c4d27307e21f4138bf1d2c7a381619c5	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
168	10007	A07	20260826T064834Z-wp9-r069-p0168-s10007-a07-a79df69d63464854a5089f664ff17b1b	E1	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
171	10008	A09	20260826T070320Z-wp9-r069-p0171-s10008-a09-d408b3ddac0d48879e7f6f956dade393	E1	T1	P7	P4	ENTER_SAFE_MODE	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.0	0	1	1	1.0	false	CONTAINED_NOT_RECOVERED	false	false	false	true		
173	10008	A11	20260826T071446Z-wp9-r069-p0173-s10008-a11-6f441ba1175f4cc0b22eca94b383cf5e	E3	T0	P7	P5	REQUEST_VERIFIED_ROLLBACK	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	1.0	0	0	1	0.0	false	TRUSTED_RECOVERY_CONFIRMED	true	false	false	false	false	event_state_contact
174	10008	A12	20260826T071925Z-wp9-r069-p0174-s10008-a12-635f73c8a3c14f68aec6e3f16fc17b8e	E3	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
175	10008	A10	20260826T072401Z-wp9-r069-p0175-s10008-a10-19f60b868c6445d797ce2ad6b74094f2	E3	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
177	10008	A13	20260826T073311Z-wp9-r069-p0177-s10008-a13-59ce91c27a91416e8acd2cae7e8f0ec2	E3	T1	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	true	evidence_insufficient
179	10008	A04	20260826T074323Z-wp9-r069-p0179-s10008-a04-763a47fda33640a480e9035a92e0a856	E1	T0	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
