observation_id,profile,policy,regime,disruption,phase_offset,deadline,trusted_recovery_success,recovery_completion_slot,contacts_consumed,cryptographic_bytes_transferred,transition_attempts,legacy_exposure_slots,control_unavailable_slots,dual_epoch_overlap_slots,rollback_invoked,stale_epoch_acceptance,terminal_state,proof_accepted_slot,commit_slot
S8-0040,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,1,12,1,10,4,12560,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0041,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,1,24,1,10,4,12560,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0042,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,1,48,1,10,4,12560,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0043,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,2,12,1,9,4,12560,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0044,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,2,24,1,9,4,12560,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0045,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,2,48,1,9,4,12560,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0046,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,3,12,1,11,4,12560,1,0,11,0,0,0,TRUST_RESTORED,8,11
S8-0047,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,3,24,1,11,4,12560,1,0,11,0,0,0,TRUST_RESTORED,8,11
S8-0048,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,3,48,1,11,4,12560,1,0,11,0,0,0,TRUST_RESTORED,8,11
S8-0049,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,4,12,1,10,4,12560,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0050,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,4,24,1,10,4,12560,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0051,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,4,48,1,10,4,12560,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0052,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,5,12,1,9,4,12560,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0053,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,5,24,1,9,4,12560,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0054,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,5,48,1,9,4,12560,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0055,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,0,12,1,8,4,12560,2,0,5,0,0,0,TRUST_RESTORED,2,5
S8-0056,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,0,24,1,8,4,12560,2,0,5,0,0,0,TRUST_RESTORED,2,5
S8-0057,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,0,48,1,8,4,12560,2,0,5,0,0,0,TRUST_RESTORED,2,5
S8-0058,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,1,12,1,10,4,12560,2,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0059,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,1,24,1,10,4,12560,2,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0060,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,1,48,1,10,4,12560,2,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0061,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,2,12,1,9,4,12560,2,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0062,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,2,24,1,9,4,12560,2,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0063,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,2,48,1,9,4,12560,2,0,6,0,0,0,TRUST_RESTORED,3,6
